ville_depart;ville_arrivee;distance_train;distance_voiture;tarif_peage
Marseille;Beauvais;769.3;871.7;38.27
Marseille;Narbonne;251.7;258.3;25.44
Marseille;Meaux;732.8;791.5;42.29
Marseille;Hyères;73.1;89.5;4.14
Marseille;Bobigny;0.0;789.1;35.72
Marseille;La Roche-sur-Yon;1079.3;933.9;53.45
Marseille;Clamart;713.2;770.1;35.72
Marseille;Vannes;1100.7;1098.8;64.68
Marseille;Chelles;708.2;788.8;37.09
Marseille;Cholet;1065.0;928.8;55.36
Marseille;Saint-Louis;0.0;10997.9;17.19
Marseille;Épinay-sur-Seine;699.1;790.5;35.72
Marseille;Saint-Ouen-sur-Seine;701.3;784.9;35.72
Marseille;Saint-Quentin;830.4;894.7;43.98
Marseille;Bondy;700.1;788.7;35.72
Marseille;Bayonne;654.1;693.6;52.13
Marseille;Corbeil-Essonnes;717.9;738.8;34.99
Marseille;Cagnes-sur-Mer;166.7;189.1;5.25
Marseille;Vaulx-en-Velin;0.0;319.1;18.43
Marseille;Les Abymes;0.0;1803.6;29.0
Marseille;Sevran;707.0;795.2;35.72
Marseille;Fontenay-sous-Bois;693.7;783.2;35.72
Marseille;Sartrouville;704.8;792.2;38.18
Marseille;Massy;673.2;759.0;35.72
Marseille;Arles;75.9;110.5;1.91
Marseille;Saint-Laurent-du-Maroni;0.0;1803.6;29.0
Marseille;Albi;438.0;367.3;9.01
Marseille;Laval;929.5;981.8;74.59
Marseille;Saint-Herblain;1016.6;995.8;64.68
Marseille;Gennevilliers;703.0;786.9;35.72
Marseille;Suresnes;699.6;780.0;35.72
Marseille;Saint-Priest;334.7;313.6;20.15
Marseille;Vincennes;689.6;775.5;35.72
Marseille;Bastia;0.0;448.2;15.1
Marseille;Martigues;22.6;41.1;0.0
Marseille;Les Sables-d'Olonne;1113.0;973.9;54.07
Marseille;Grasse;165.4;184.0;4.36
Marseille;Montrouge;0.0;769.7;35.72
Marseille;Aubagne;7.0;18.8;0.0
Marseille;Saint-Malo;1050.7;1112.7;75.3
Marseille;Évreux;758.7;862.4;40.04
Marseille;La Courneuve;696.1;794.4;35.72
Marseille;Blois;834.2;751.4;48.78
Marseille;Brive-la-Gaillarde;551.5;598.1;40.96
Marseille;Charleville-Mézières;959.2;877.6;39.29
Marseille;Meudon;699.6;773.9;35.72
Marseille;Carcassonne;285.2;320.3;28.4
Marseille;Choisy-le-Roi;699.8;767.0;35.72
Marseille;Noisy-le-Sec;699.1;786.5;35.72
Marseille;Livry-Gargan;0.0;792.9;35.72
Marseille;Rosny-sous-Bois;695.6;784.1;35.72
Marseille;Talence;596.0;642.4;41.37
Marseille;Belfort;589.3;655.6;56.78
Marseille;Alfortville;692.8;771.3;35.72
Marseille;Chalon-sur-Saône;403.1;441.2;22.8
Marseille;Salon-de-Provence;53.6;56.1;1.1
Marseille;Sète;186.4;208.0;10.2
Marseille;Istres;43.6;58.3;0.0
Marseille;Mantes-la-Jolie;741.4;823.1;38.57
Marseille;Saint-Germain-en-Laye;710.1;795.0;39.19
Marseille;Saint-Brieuc;1082.0;1128.6;64.35
Marseille;Tarbes;506.8;552.6;43.95
Marseille;Alès;155.1;164.0;6.28
Marseille;Châlons-en-Champagne;926.8;759.0;37.09
Marseille;Bagneux;0.0;769.1;35.72
Marseille;Puteaux;696.9;780.8;35.72
Marseille;Caluire-et-Cuire;0.0;317.9;18.43
Marseille;Bron;0.0;313.3;18.49
Marseille;Rezé;1009.7;985.6;64.68
Marseille;Valenciennes;915.6;971.9;50.25
Marseille;Châteauroux;902.9;664.6;41.4
Marseille;Garges-lès-Gonesse;702.0;799.5;35.72
Marseille;Castres;445.0;336.0;25.0
Marseille;Arras;835.3;975.6;50.02
Marseille;Melun;726.1;728.7;40.35
Marseille;Thionville;1031.6;798.5;35.4
Marseille;Le Cannet;0.0;172.6;4.36
Marseille;Bourg-en-Bresse;346.6;395.7;25.58
Marseille;Anglet;0.0;699.0;52.13
Marseille;Angoulême;1102.0;756.3;43.05
Marseille;Boulogne-sur-Mer;895.4;1046.8;53.33
Marseille;Wattrelos;0.0;1014.9;50.25
Marseille;Gap;160.9;182.8;3.98
Marseille;Villenave-d'Ornon;1163.6;638.2;41.37
Marseille;Montélimar;177.6;166.7;12.44
Marseille;Compiègne;764.9;856.4;38.86
Marseille;Stains;0.0;797.7;35.72
Marseille;Gagny;703.8;789.8;35.72
Marseille;Colomiers;385.1;415.9;32.03
Marseille;Poissy;714.5;796.4;37.22
Marseille;Draguignan;0.0;136.7;2.57
Marseille;Douai;859.6;965.5;47.68
Marseille;Le Lamentin;0.0;1803.6;29.0
Marseille;Bagnolet;0.0;776.9;35.72
Marseille;Marcq-en-Barœul;0.0;1005.1;50.25
Marseille;Saint-Joseph;0.0;10997.9;17.19
Lyon;Toulouse;493.1;540.3;35.87
Lyon;Nice;466.2;473.7;36.66
Lyon;Nantes;770.4;682.6;56.94
Lyon;Montpellier;270.4;304.6;13.01
Lyon;Strasbourg;459.8;489.3;39.92
Lyon;Bordeaux;921.0;553.3;33.46
Lyon;Lille;586.6;693.0;31.82
Lyon;Rennes;717.2;720.8;49.69
Lyon;Toulon;339.5;379.7;25.94
Lyon;Reims;510.3;487.7;21.05
Lyon;Saint-Étienne;53.1;66.2;0.33
Lyon;Le Havre;590.0;651.2;32.85
Lyon;Dijon;174.3;194.3;6.94
Lyon;Grenoble;97.7;107.7;6.68
Lyon;Angers;668.4;597.2;49.09
Lyon;Villeurbanne;0.0;6.1;0.0
Lyon;Saint-Denis;404.7;477.2;17.19
Lyon;Nîmes;223.9;253.3;9.3
Lyon;Aix-en-Provence;273.2;296.6;21.12
Lyon;Clermont-Ferrand;179.5;163.4;17.07
Lyon;Le Mans;556.8;581.8;42.52
Lyon;Brest;936.9;963.2;49.69
Lyon;Tours;574.0;488.8;39.51
Lyon;Amiens;514.4;621.7;22.81
Lyon;Annecy;130.1;139.9;7.59
Lyon;Limoges;758.5;413.8;28.78
Lyon;Metz;686.6;458.9;17.51
Lyon;Boulogne-Billancourt;0.0;466.5;17.19
Lyon;Perpignan;417.6;453.1;31.9
Lyon;Besançon;261.8;251.5;18.63
Lyon;Orléans;505.4;445.9;35.17
Lyon;Rouen;510.0;589.3;23.85
Lyon;Montreuil;0.0;477.4;17.19
Lyon;Caen;597.9;692.6;36.96
Lyon;Argenteuil;409.9;487.2;19.67
Lyon;Mulhouse;359.3;376.0;39.68
Lyon;Saint-Paul;0.0;10939.0;17.61
Lyon;Nancy;697.3;406.3;17.51
Lyon;Tourcoing;598.1;703.0;31.82
Lyon;Roubaix;595.7;701.3;31.82
Lyon;Nanterre;408.5;474.6;17.19
Lyon;Vitry-sur-Seine;408.2;461.6;17.19
Lyon;Créteil;405.3;463.9;17.19
Lyon;Avignon;206.0;230.4;16.05
Lyon;Poitiers;723.1;467.6;26.26
Lyon;Aubervilliers;0.0;473.1;17.19
Lyon;Asnières-sur-Seine;404.7;477.9;17.19
Lyon;Colombes;407.3;477.5;17.19
Lyon;Dunkerque;652.6;765.0;31.82
Lyon;Aulnay-sous-Bois;412.3;485.3;17.19
Lyon;Saint-Pierre;0.0;10931.4;17.61
Lyon;Versailles;420.1;469.4;17.42
Lyon;Le Tampon;0.0;10931.4;17.61
Lyon;Courbevoie;408.3;474.0;17.19
Lyon;Béziers;337.9;366.0;28.85
Lyon;La Rochelle;853.0;704.4;48.8
Lyon;Rueil-Malmaison;412.9;472.2;17.19
Lyon;Cherbourg-en-Cotentin;713.7;814.3;36.96
Lyon;Champigny-sur-Marne;407.9;472.6;17.19
Lyon;Pau;681.9;725.1;50.5
Lyon;Mérignac;929.0;561.9;33.46
Lyon;Saint-Maur-des-Fossés;406.9;467.4;17.19
Lyon;Antibes;448.7;453.5;26.36
Lyon;Fort-de-France;0.0;1937.9;32.87
Lyon;Ajaccio;0.0;864.2;36.66
Lyon;Cannes;439.9;444.5;25.6
Lyon;Saint-Nazaire;827.4;741.9;57.86
Lyon;Mamoudzou;0.0;10794.8;17.61
Lyon;Drancy;411.8;481.4;17.19
Lyon;Noisy-le-Grand;409.0;473.5;18.82
Lyon;Issy-les-Moulineaux;407.0;465.1;17.19
Lyon;Cergy;429.5;499.8;20.67
Lyon;Levallois-Perret;403.2;473.1;17.19
Lyon;Colmar;396.1;420.5;39.68
Lyon;Calais;659.6;758.7;52.62
Lyon;Pessac;927.3;566.6;33.34
Lyon;Vénissieux;5.7;10.2;0.0
Lyon;Évry-Courcouronnes;424.7;434.8;17.19
Lyon;Clichy;0.0;474.7;17.19
Lyon;Valence;97.1;108.0;4.33
Lyon;Ivry-sur-Seine;404.5;462.3;17.19
Lyon;Bourges;269.1;339.7;27.47
Lyon;Quimper;918.9;908.4;57.86
Lyon;Cayenne;0.0;1937.9;32.87
Lyon;Antony;409.8;452.4;17.19
Lyon;Troyes;580.6;375.2;12.9
